English,French
time,le temps
day,le jour
man,l'homme
woman,la femme
thing,la chose
life,la vie
hand,la main
eyes,les yeux
moment,le moment
child,l'enfant
world,le monde
head,la tête
place,le lieu
work,le travail
case,le cas
point,le point
government,le gouvernement
company,l'entreprise
year,l'année
part,la partie
group,le groupe
problem,le problème
fact,le fait
question,la question
country,le pays
night,la nuit
house,la maison
person,la personne
reason,la raison
information,l'information
month,le mois
a right,le droit
state,l'état
week,la semaine
hour,l'heure
word,le mot
end,la fin
means,le moyen
family,la famille
system,le système
heart,le cœur
voice,la voix
number,le nombre
book,le livre
body,le corps
side,le côté
history,l'histoire
friend,l'ami
way,la façon
idea,l'idée
force,la force
law,la loi
team,l'équipe
price,le prix
girl,la fille
war,la guerre
air,l'air
father,le père
game,le jeu
police,la police
letter,la lettre
eyes,l'œil
city,la ville
water,l'eau
office,le bureau
door,la porte
market,le marché
study,l'étude
line,la ligne
face,la face
land,la terre
plan,le plan
movie,le film
situation,la situation
service,le service
art,l'art
course,le cours
school,l'école
route,la voie
nature,la nature
people,le peuple
report,le rapport
foot,le pied
morning,le matin
direction,la direction
sense,le sens
form,la forme
society,la société
president,le président
chance,la chance
development,le développement
activity,l'activité
order,l'ordre
love,l'amour
responsibility,la responsabilité
difference,la différence
music,la musique
project,le projet
hope,l'espoir
freedom,la liberté
