English,Arabic
stove,فُرن
table,طاوِلَة
chair,كُرسي
window,نافِذَة
door,باب
tablet,لَوْح
washing machine,غَسّالَة
fridge,ثَلّاجَة
fan,مَروَحَة
air conditioner,مُكَيِّف الهَوَاء
television,تلفاز
phone,هاتِف
camera,كاميرا
train,قِطار
computer,حاسوب مَحمول
fish,سَمَك
juice,عَصير
milk,حَليب
car,سَيّارَة
plane,طَيَّارَة
bill,فاتورَة
water,ماء
tea,شاي
coffee,قَهوَة
chicken,دَجَاج
waitress,نادِلَة
knife,سِكّين
waiter,نادِل
fork,شَوكَة
cup,فِنجان
bowl,وِعاء
exams,اِمتِحان
scissors,مَقَص
plate,طَبَق
spoon,ملعقة
pencil,قَلَم رُصاص
university,جامِعَة
notebook,دَفتَر
school,مَدرَسَة
student,طالِب
cook (feminine),طَبّاخَة
employee,مُوَظَّف
employee (fe),مُوَظَّفَة
book,كِتاب
pen,قلم
wife,زَوْجَة
salesman,بائِع
teacher,أُستاذ
manager,مُدير
doctor,طَبيب
daugher,اِبنَة
son,إبن
aunt,عَمَّة
uncle,عَم
husband,زَوْج
family,عائِلَة
mother,أُم
father,أَب
child,طِفل
hand,يَد
waist,خَصر
stomach,مَعِدَة
back,ظَهر
chest,صَدر
year,عام
ramadhan,رَمَضان
foot,قَدَم
head,رَأس
arm,ذِراع
tomorrow,غَداً
yesterday,أَمس
day,يَوْم
week,أُسبوع
month,شَهر
speaker,متحدث
rider,راكب
person,انسان
friend,صديق
engineer,مهندس
journalist,صحفي
cat,قط
reporter,مراسل
elephant,فيل
pilot,طيّار
hunter,صياد
leader,أمير
author,مؤلف
poet,شاعر
bridegroom,عريس
tailor,خياط
king,ملك
policeman,شرطي
grandfather,جد
horse,حصان
duck,بط
dog,كلب
bachelor,أعزب
widow,أرمل
bull,ثور
rooster,ديك
