English_Noun,Spanish_Noun
the house,la casa
the restaurant,el restaurante
the apartment,el apartamento
the lake,el lago
the road,el camino
the forest,el bosque
the town square/the shopping mall,la plaza
the city,la ciudad
the bank,el banco
the market,el mercado
the state,el estado
the country,el país
the woman,la mujer
the man,el hombre
the sister,la hermana
the brother,el hermano
the mother,la madre
the father,el padre
the sir,el señor
the madam,la señora
the family,la familia
the group,el grupo
the candidate,el candidato
the guard,la guardia
the gentleman,el caballero
the lady,la dama
the person,la persona
the driver,el conductor
the friend (feminine),la amiga
the friend (masculine),el amigo
the bus,el autobús
the car,el coche/el carro/el auto
the bicycle,la bicicleta
the cargo,el cargamento
the luggage,el equipaje
the creature,la criatura
the animal,el animal
the dog,el perro
the cat,el gato
the gasoline,la gasolina
the year,el año
the month,el mes
the day,el día
the moment,el momento
the number,el número 
the photo,la foto
the social media networks,las redes sociales
the TV,la Televisión
the food,la comida/el alimento
the weather,el agua
the bean,el frijol
the rice,el arroz
the meat/the beef,la carne
the vegetables,los vegetales
the fruit,las frutas
the news,las noticias
the experience,las experiencias
the proposals,las propuestas
the poverty,la pobreza
the challenge,el desafío
the economy,la economía
the politics,la política
the health,la salud
the elections,las elecciones
the pandemic,la pandemia
the crisis,la crisis
the force/strength,la fuerza/strength
the death,la muerte
the life,la vida
the foot,el pie
the head,la cabeza
the arm,el brazo
the chest,el pecho
the stomach,el estómago
the leg,la pierna
the smile,la sonrisa
the jacket,la chaqueta
the pants,los pantalones
the shirt,la camisa
the underwear,la ropa interior
the hat,la gorra
the shoes,los zapatos
the box,la caja
the door,la puerta
the bathroom,el baño
the bedroom,el cuarto
the kitchen,la cocina
the thing,la cosa
the grill,la parrilla
the table,la mesa
the sofa,el sofá/couch
the bed,la cama
the garage,el garaje
the information,la información
the question,la pregunta
the letter,la carta
the email,el correo electrónico
the message,el mensaje
the eye,el ojo
the child (feminine),La niña
