English,German
time,die Zeit
year,das Jahr
human,der Mensch
day,der Tag
man,der Mann
woman,die Frau
child,das Kind
hand,die Hand
eye,das Auge
a way,der Weg
friend,der Freund
house,das Haus
car,das Auto
work,die Arbeit
city,die Stadt
life,das Leben
problem,das Problem
moment,der Moment
country,das Land
place,der Platz
world,die Welt
case,der Fall
head,der Kopf
word,das Wort
room,das Zimmer
question,die Frage
book,das Buch
school,die Schule
money,das Geld
hour,die Stunde
mother,die Mutter
father,der Vater
night,die Nacht
water,das Wasser
people,die Leute
heart,das Herz
name,der Name
game,das Spiel
picture,das Bild
face,das Gesicht
door,die Tür
family,die Familie
a thing,die Sache
street,die Straße
week,die Woche
end,das Ende
door,der Hund
movie,der Film
music,die Musik
history,die Geschichte
brother,der Bruder
sister,die Schwester
light,das Licht
foot,der Fuß
idea,die Idee
language,die Sprache
rain,der Regen
love,die Liebe
meaning,die Bedeutung
sun,die Sonne
body,der Körper
truth,die Wahrheit
parents,die Eltern
table,der Tisch
arm,der Arm
strength,die Kraft
death,der Tod
a right,das Recht
war,der Krieg
voice,die Stimme
window,das Fenster
foot,das Essen
girlfriend,die Freundin
heaven,der Himmel
leg,das Bein
possibility,die Möglichkeit
second,die Sekunde
animal,das Tier
university,die Universität
bread,das Brot
glance,der Blick
company,die Firma
group,die Gruppe
forest,der Wald
number,die Zahl
company,der Betrieb
government,die Regierung
economy,die Wirtschaft
a location,der Ort
mountain,der Berg
fire,das Feuer
king,der König
color,die Farbe
plan,der Plan
society,die Gesellschaft
lake,der See
month,der Monat
island,die Insel
thought,der Gedanke
political party,die Partei party
